,Date Announced,Detected State,Num Cases
0,01/04/2020,Andhra Pradesh,0.0
1,01/04/2020,Assam,0.0
2,01/04/2020,Bihar,0.0
3,01/04/2020,Chandigarh,0.0
4,01/04/2020,Delhi,0.0
5,01/04/2020,Gujarat,0.0
6,01/04/2020,Jammu and Kashmir,0.0
7,01/04/2020,Karnataka,0.0
8,01/04/2020,Kerala,0.0
9,01/04/2020,Madhya Pradesh,0.0
10,01/04/2020,Maharashtra,0.0
11,01/04/2020,Odisha,0.0
12,01/04/2020,Puducherry,0.0
13,01/04/2020,Punjab,0.0
14,01/04/2020,Rajasthan,0.0
15,01/04/2020,Tamil Nadu,0.0
16,01/04/2020,Telangana,0.0
17,01/04/2020,Uttar Pradesh,0.0
18,01/05/2020,Andhra Pradesh,144.0
19,01/05/2020,Assam,4.0
20,01/05/2020,Bihar,56.0
21,01/05/2020,Chandigarh,14.0
22,01/05/2020,Chhattisgarh,3.0
23,01/05/2020,Delhi,298.0
24,01/05/2020,Gujarat,471.0
25,01/05/2020,Haryana,24.0
26,01/05/2020,Himachal Pradesh,2.0
27,01/05/2020,Jammu and Kashmir,56.0
28,01/05/2020,Jharkhand,5.0
29,01/05/2020,Karnataka,46.0
30,01/05/2020,Kerala,9.0
31,01/05/2020,Madhya Pradesh,140.0
32,01/05/2020,Maharashtra,1140.0
33,01/05/2020,Meghalaya,10.0
34,01/05/2020,Odisha,25.0
35,01/05/2020,Punjab,109.0
36,01/05/2020,Rajasthan,309.0
37,01/05/2020,Tamil Nadu,258.0
38,01/05/2020,Telangana,28.0
39,01/05/2020,Uttar Pradesh,222.0
40,01/05/2020,Uttarakhand,2.0
41,01/05/2020,West Bengal,60.0
42,01/06/2020,Andhra Pradesh,141.0
43,01/06/2020,Arunachal Pradesh,18.0
44,01/06/2020,Assam,245.0
45,01/06/2020,Bihar,359.0
46,01/06/2020,Chandigarh,19.0
47,01/06/2020,Chhattisgarh,56.0
48,01/06/2020,Dadra and Nagar Haveli and Daman and Diu,1.0
49,01/06/2020,Delhi,1308.0
50,01/06/2020,Goa,8.0
51,01/06/2020,Gujarat,1309.0
52,01/06/2020,Haryana,273.0
53,01/06/2020,Himachal Pradesh,11.0
54,01/06/2020,Jammu and Kashmir,177.0
55,01/06/2020,Jharkhand,66.0
56,01/06/2020,Karnataka,288.0
57,01/06/2020,Kerala,76.0
58,01/06/2020,Madhya Pradesh,363.0
59,01/06/2020,Maharashtra,3213.0
60,01/06/2020,Manipur,12.0
61,01/06/2020,Meghalaya,1.0
62,01/06/2020,Odisha,275.0
63,01/06/2020,Puducherry,9.0
64,01/06/2020,Punjab,50.0
65,01/06/2020,Rajasthan,455.0
66,01/06/2020,State Unassigned,139.0
67,01/06/2020,Tamil Nadu,1586.0
68,01/06/2020,Telangana,163.0
69,01/06/2020,Tripura,107.0
70,01/06/2020,Uttar Pradesh,478.0
71,01/06/2020,Uttarakhand,172.0
